results_df_name,model_name,metric_category,condition,metric
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,BER
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,F1 Score
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,TP
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,FP
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,FN
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,TN
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,TPR
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,FPR
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,FNR
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,TNR
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,Precision
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,Recall
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,BER
test_results,resnet_base224_enhanced,positive_vs_negative,Pleural Effusion,F1 Score
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,TP
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,FP
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,FN
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,TN
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,TPR
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,FPR
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,FNR
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,TNR
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,Precision
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,Recall
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,BER
test_results,resnet_base224_enhanced,certain_vs_uncertain,Cardiomegaly,F1 Score
test_results,resnet_base224_enhanced,certain_vs_uncertain,Consolidation,TP
test_results,resnet_base224_enhanced,certain_vs_uncertain,Consolidation,FP
test_results,resnet_base224_enhanced,certain_vs_uncertain,Consolidation,FN
test_results,resnet_base224_enhanced,certain_vs_uncertain,Consolidation,TN
test_results,resnet_base224_enhanced,certain_vs_uncertain,Consolidation,TPR
